german_word,english_word
Flugzeug das,plane
Formular das,form
Fotoapparat der,camera
Führung die,guided tour
Gepäck das,luggage
Gleis das,track; platform
Griechenland,Greece
Halbpension die,half board
herumfahren,to travel around
Jugendherberge die,youth hostel
Koffer der,suitcase
Köln,Cologne
Küste die,coast
Linie die,line; number (tram; bus)
Meer das,sea
Mittelmeer das,Mediterranean
Mosel die,Moselle
München,Munich
Notausgang der,emergency exit
Öffnungszeiten (pl),opening times
örtlich,local
Ostsee die,Baltic Sea
Panne die,breakdown; puncture; flat tyre
Passagier der,passenger
Pension die,(small) hotel
Polen,Poland
Reise die,journey; trip; voyage
Reisebüro das,travel agency
Reisebus der,coach
reisen,to travel
Reisende der/die,traveller
Reisescheck der,traveller's cheque
Reisetasche die,travel bag
Reiseziel das,destination
Rhein der,Rhine
Richtung die,direction
Rundfahrt die,round trip; tour
Russland,Russia
Schließfach das,locker
Schloss das,castle; palace
See der,lake
See die,sea
seekrank,sea sick
sehenswert,worth seeing
Sehenswürdigkeit die,tourist attraction; sight
Sicherheitsgurt der,safety belt; seat belt
sonnen (sich),to sunbathe
Sonnenbrand der,sunburn
Sonnencreme die,suntan lotion
Speisewagen der,dining car; restaurant car (train)
Stadtbummel der,stroll through town; window shopping
Stadtrundfahrt die,sightseeing tour of a town/city
Stau der,traffic jam
Strand der,beach
Straßenkarte die,road map
Überfahrt die,crossing (sea)
übernachten,to stay overnight
Übernachtung die,overnight stay
Übernachtung mit Frühstück,B&B
überqueren,to cross (road; sea)
umsteigen,to change (means of transport)
unterwegs,on the way
Urlaub der,holiday
verbringen,to spend (time)
verpassen,to miss
Verspätung die,delay
Vollpension die,full board
warten (auf),to wait (for)
Wartesaal der,waiting room (eg station)
weg,away
Weg der,way; path
wegfahren,to leave; to travel away
weggehen,to leave; to go away
weiterfahren,to travel on
wieder,again
Wien,Vienna
Wohnwagen der,caravan
Zelt das,tent
zelten,to camp
Zweibettzimmer das,twin bed room
Direktor der,headteacher; principal
Fach das,subject
Fremdsprache die,foreign language
gerecht,fair; just
klug,clever; intelligent
lehren,to teach
Schulfach das,school subject
Schulleiter der,headteacher; principal
Stunde die,lesson
ungerecht,unfair
Werken,DT
1 = sehr gut,very good
2 = gut,good
3 = befriedigend,satisfactory; fair
4 = ausreichend,sufficient; pass (just)
5 = mangelhaft,poor; unsatisfactory; fail
6 = ungenügend,extremely poor; inadequate
Abschlusszeugnis das,school leaving certificate
Anspitzer der,pencil sharpener
Antwort die,answer
antworten,to answer
anziehen (sich),to get dressed
Anzug der,suit
aufpassen,to pay attention
aufstehen,to get up
aufwachen,to wake up
Aula die,(assembly) hall
Austausch der,exchange
Auswahl die,choice
ausziehen (sich),to get undressed
bestehen,to pass (exam/test)
blau machen,to skip work; to play truant
Bluse die,blouse
dauern,to last
Erfolg der,success
erfolgreich,successful
erklären,to explain
erzählen,to tell; to narrate
faul,lazy
fehlen,to be missing; absent
Ferien (pl),holidays
fleißig,hard working; industrious
Frage die,question
fragen,to ask
Ganztagsschule die,school that lasts all day
Gesamtschule die,comprehensive school
gründen,to found
Grundschule die,primary school
Gymnasium das,grammar school
Halle die,hall
Hauptschule die,secondary school
Hausmeister der,caretaker
Hemd das,shirt
Hose die,trousers
Internat das,boarding school
Klassenarbeit die,test
Klassenfahrt die,school trip
Kleid das,dress
korrigieren,to correct
Krawatte die,tie
Kreide die,chalk
Labor das,laboratory
Lehrerzimmer das,staff room
Lineal das,ruler
malen,to paint
Mittagspause die,lunch break
mündlich,orally
nachsitzen,to have a detention
Note die,grade; mark
Notendruck der,pressure to achieve good marks/grades
Pause die,break
plaudern,to chat; to talk
Prüfung die,exam
rasieren (sich),to shave
Raum der,room
Realschule die,secondary school
rechnen,to calculate; to do sums
Regel die,rule
Rock der,skirt
schaffen,to manage; to cope; to create
Schal der,scarf
schminken (sich),to put on make-up
schriftlich,written
Schüler der,student
Schulhof der,school yard; playground
schwatzen/schwätzen,to chatter
Seite die,page
Sekretariat das,office (school); reception
setzen (sich),to sit down
sitzen bleiben,to repeat a school year
Sprachlabor das,language lab
Stundenplan der,timetable
Tafel die,black/white board
Turnhalle die,sports hall
üben,to practise
Übung die,exercise
Umkleideraum der,changing room
umziehen (sich),to get changed; change clothes
Unterricht der,lessons; teaching
unterrichten,to teach
verlassen,to leave
Versammlung die,assembly
verstehen,to understand
versuchen,to try
wählen,to choose
waschen (sich),to have a wash
wiederholen,to repeat
wissen,to know
Wörterbuch das,dictionary
Zahnbürste die,toothbrush
Zahnpasta die,toothpaste
zeichnen,to draw
Zeugnis das,school report
zuhören,to listen
(Azubi) = Auszubildende der,apprentice; trainee
Abitur das,A-level equivalent
Abiturient der,person doing the Abitur
arbeiten,to work
Arbeitspraktikum das,work experience
Ausbildung die,(job) training; education
Ausbildungsplatz der,vacancy/place for a trainee
Berufsberater der,careers adviser
Berufsschule die,vocational training school
bewerben (sich um),to apply for
Bewerbung die,application
Brief der,letter
Chef der,boss
entscheiden (sich),to decide
Erfahrung die,experience
fertig,ready; done
Führerschein der,driving licence
Gelegenheit die,opportunity
Kollege der,colleague
Kurs der,course
Lebenslauf der,curriculum vitae (CV)
Lehre die,apprenticeship
Lohn der,wage
Mindestlohn der,minimum wage
Nebenjob der,part-time job
Oberstufe die,equivalent to sixth-form
Rat der,advice
Semester das,term
Studienplatz der,university place
Studium das,studies
theoretisch,theoretical
verdienen,to earn
Angestellte der/die,employee
Apotheker der,pharmacist
Arbeitszeit die,work hours
Bäcker der,baker
Bauarbeiter der,building/construction worker
bauen,to build
Bauer der,farmer
Beamte der/die,civil servant
Beruf der,job; occupation
berufstätig (sein),(to be) in work
beschäftigt (sein),(to be) busy; employed
beschließen,to decide
besitzen,to own
Besitzer der,owner
Bezahlung die,payment
Briefträger der,postman
Büro das,office
erfüllen,to fulfil
Feuerwehrmann der,fire fighter
Fleischer der,butcher
Friseur der,hairdresser
ganztags,all day
Gärtner der,gardener
Gehalt das,salary
Halbtagsarbeit die,part time employment
Hausfrau die,house wife
im Freien,outside; in the open air
Karriere die,career
Kassierer der,cashier; bank clerk
Klempner der,plumber
Koch der,chef; cook
Krankenschwester die,nurse
LKW-Fahrer der,lorry driver
Maler der,painter; decorator
Metzger der,butcher
Pfarrer der,parish priest; vicar
Polizei die,police
Polizist der,policeman
Postbote der,postman
Rentner der,pensioner
Schauspieler der,actor
Schichtarbeit die,shift work
suchen,to look for; to search
Teilzeitjob der,part time job
Termin der,date; appointment
Tischler der,carpenter
Verkäufer der,shop assistant
Vollzeitarbeit die,full time work
Vorstellungsgespräch das,job interview
Werkstatt die,garage
Wunsch der,wish
Alleinerziehende der/die,single parent
alleinstehend,single
Angeber der,show off; poser
aufpassen (auf),to look after
ausgeglichen,balanced
Bekannte der/die,acquaintance; friend
Beziehung die,relationship
Braut die,bride
Bräutigam der,groom
Ehe die,marriage
eifersüchtig,jealous
einen (guten) Sinn für Humor haben,to have a (good) sense of humour
eingebildet,conceited
Enkel der,grandson
Enkelin die,granddaughter
gleichgeschlechtliche Ehe/Partnerschaft die,same-sex marriage/partnership
großzügig,generous
Junggeselle der,bachelor
lebhaft,lively
leiden,to suffer
minderjährig,(to be a) minor; under legal age
miteinander,with one another; together
Neffe der,nephew
Nichte die,niece
Schulter die,shoulder
Schwager der,brother-in-law
Schwägerin die,sister-in-law
Schwieger~,~ in-law
selbstbewusst,self-confident; self-assured
Trauung die,wedding (ceremony)
treu,faithful; loyal
Verlobte der/die,fiancé(e)
verrückt,crazy
Verwandte der/die,relative
Verwandtschaft die,relations (pl); relatives (pl)
verzeihen,to forgive
volljährig,(to be) of age
Vorwahl(nummer) die,long distance code (telephone)
zurechtkommen mit,to cope with
zuverlässig,reliable
zweifeln,to doubt
Anwendungen (pl),applications
Betriebssystem das,operating system
Einstellungen (pl),settings
leistungsstark,powerful (battery; processor)
Sicherheit die,safety
aufnehmen,to record
aufregend,exciting
Bergsteigen das,mountain climbing
Dirigent der,conductor
Ente die,duck
ermüdend,tiring
Flachbildschirm der,flat screen TV
Flimmerkiste die,TV; box; telly
Forelle die,trout
Gans die,goose
Geige die,violin
geräuchert,smoked
Halbfettmilch die,semi-skimmed milk
hausgemacht,home made
Honig der,honey
Kalbfleisch das,veal
Knoblauch der,garlic
Lachs der,salmon
Lamm(fleisch) das,lamb
Leichtathletik die,athletics
Magermilch die,skimmed milk
Mehl das,flour
Querflöte die,flute
Rennen das,race
Rindfleisch das,beef
Rührei das,scrambled egg(s)
Schlagzeug das,percussion; drums
Schlittschuh laufen,ice skating
schmackhaft,Tasty
Schweinefleisch das,pork
Spiegelei das,fried egg
Sprudel(wasser) der (das),fizzy mineral water
Truthahn der,turkey
Überraschung die,surprise
Untertitel der,subtitle
Verein der,club
Vergnügen das,fun; enjoyment
Vollmilch die,full fat milk
würzig,spicy
Aprilscherz der,April fool's trick
Gastfreundschaft die,hospitality
Tag der Arbeit (1 Mai),May Day
Abstellraum der,storeroom
ausschalten,to switch off
Besteck das,cutlery
Brunnen der,well
Einbahnstraße die,one way street
einschalten,to switch on
Essecke die,eating area (eg in the kitchen)
Fahrschein der,ticket (public transport)
Gerät das,appliance
geräumig,roomy; spacious
Geschirr das,crockery
gratis,free of charge
Grünanlage die,green area; park
Mehrfamilienhaus das,house for several families (three to six storeys)
Möbelstück das,piece of furniture
~möglichkeiten,~ possibilities
öffentliche Verkehrsmittel (pl),public transport
pleite (sein),to be skint
preiswert,good value for money; cheap
Rabatt der,discount
Sackgasse die,cul-de-sac
Sparkasse die,(savings) bank
Stadtteil der,part of the town
Stadtviertel das,district; part of the town
Stockwerk das,floor; storey
Strom der,electricity
Tiefkühltruhe die,chest freezer
Treppenhaus das,staircase
umsonst,free of charge; in vain
Umzug der,move; moving (house)
Wolkenkratzer der,sky-scraper
abstinent,teetotal
Atem der,breath
Atembeschwerden (pl),breathing difficulties
Bedürftige der/die,somebody in need
begehen,to commit; to perpetrate
benachteiligen,to disadvantage
bewegen (sich),to move; to get/take some exercise
Drogenberatungsstelle die,advice centre for drug addicts
ehrenamtlich,honorary; voluntarily
ein Mittel gegen ...,something; a medicine for ...
einatmen,to breathe in
Eingliederung die,integration
einnehmen,to take (in)
Entziehungskur die,rehab for drug addiction/alcoholism
erbrechen (sich),to be sick
fettarm,low in fat
Gehirn das,brain
lebendig,alive
magersüchtig,anorexic
Mindesthaltbarkeitsdatum das,best before date
Nahrung die,food; nourishment
Rassenvorurteile (pl),racial prejudice
Rassist der,racist
Raucherhusten der,smoker's cough
Rauschgift das,drug; narcotic
schaden,to damage; to harm
Straftat die,criminal offence; act
Süßigkeiten (pl),sweets
Überdosis die,overdose
übergewichtig,overweight
vermeiden,to avoid
Abholzung die,deforestation
Auspuffgase (pl),exhaust fumes
bedürftig,needy
Düngemittel das,fertiliser
Einwegflasche die,non-recyclable bottle
Gleichheit die,equality
Hauptverkehrszeit die,rush hour
menschlich,human; humane
Müllentsorgung die,waste disposal
Not die,need
Obdachlosenheim das,hostel for homeless people
Rote Kreuz das,Red Cross
überschreiten,to exceed
verpesten,to pollute
verschwenden,to waste
verwenden,to use
wiederverwerten,to recycle
Wiederverwertung die,recycling
Andenken das,souvenir; memento
ansehen (sich etwas),to have a look at something
Ärmelkanal der,(English) Channel
Aufenthalt der,stay
Auskunft die,information
Autovermietung die,car rental (firm)
beeilen (sich),to hurry
begleiten,to accompany
bestätigen,to confirm
Bodensee der,Lake Constance
Dampfer der,steam boat
Empfang der,welcoming; reception (hotel)
entdecken,to discover
erinnern (sich),to remember
Fahrradverleih der,bicycle hire
Genf,Geneva
Gepäckaufbewahrung die,place where one can leave luggage for payment (station; airport)
Klimaanlage die,air conditioning
Prospekt der,brochure; leaflet
Strandkorb der,wicker beach chair
Verbindung die,connection
Verkehrsamt das,tourist information office
wegen Betriebsferien (pl) geschlossen,(firm/shop/attraction) closed because of holiday
Zoll der,customs
Zuschlag der,extra charge; surcharge
Fremdsprachenassistent der,language assistant
abschreiben,to copy
abwesend,absent
anwesend,present
Aussprache die,pronunciation
beantworten,to answer
durchfallen,to fail (exam/test)
eine Frage stellen,to ask a question
Ergebnis das,result; outcome
Gang der,corridor
Leistung die,achievement
Leistungsdruck der,pressure to achieve
Patrone die,cartridge
Schere die,scissors
schwänzen,to play truant
Strafarbeit die,punishment; lines
versetzt werden,to be moved up to the next year group
einstellen,to employ
Fachschule die,technical college
Hauswirtschaftslehre die,home economics
Pflichtfach das,compulsory subject
Sozialkunde die,social studies; politics
Wahlfach das,optional subject
Wirtschaftslehre die,business studies; economics
Arbeitgeber der,Employer
Besprechung die,meeting; discussion
Betrieb der,business; concern; works
kündigen,to hand in one's notice; to sack someone
vereinbaren,to agree; to arrange
