german_word,english_word,times_correct_g2e,times_correct_e2g
liefern,to deliver,0,0
Löffel der,spoon,0,0
mähen,to mow,0,0
Mahlzeit die,meal; meal time,0,0
Marke die,brand; make,0,0
Marktplatz der,market place,0,0
Mauer die,wall (outside),0,0
Messer das,knife,0,0
Metzgerei die,butcher's,0,0
Miete die,rent,0,0
mieten,to rent; to hire,0,0
Mikrowelle die,microwave oven,0,0
Möbel (pl),furniture,0,0
Mofa das,(motorised) bicycle,0,0
Motorrad das,motor bike,0,0
nach Hause,(going) home,0,0
nach oben,upstairs,0,0
nach unten,downstairs,0,0
Nachbar der,neighbour,0,0
Nachteil der,disadvantage,0,0
Nachttisch der,bedside cabinet,0,0
Obst- und Gemüseladen der,green grocer's,0,0
Ordnung die,order,0,0
Parkplatz der,parking place,0,0
Pflanze die,plant,0,0
Plakat das,poster; billboard,0,0
Platz der,place; square,0,0
putzen,to clean,0,0
Quittung die,receipt,0,0
Rasen der,lawn,0,0
Regal das,shelf,0,0
Reihenhaus das,terraced house,0,0
Reinigung die,dry cleaner's,0,0
Rolltreppe die,escalator,0,0
Sache die,thing; stuff,0,0
sauber machen,to clean,0,0
S-Bahn die,suburban (fast) railway,0,0
Schaufenster das,shop window,0,0
Schlange stehen,to queue,0,0
Schlüssel der,key,0,0
Schrank der,cupboard,0,0
Schreibwarengeschäft das,stationery shop,0,0
Schublade die,drawer,0,0
Sonderangebot das,special offer,0,0
Sonst noch etwas?,Anything else?,0,0
Spiegel der,mirror,0,0
Spielplatz der,play ground,0,0
Stadtrand der,outskirts of a town,0,0
stecken,to put (something into),0,0
stellen,to put; to place (upright),0,0
Straßenbahn die,tram,0,0
tanken,to fill up with petrol/diesel,0,0
Tankstelle die,petrol station,0,0
Tasse die,cup,0,0
Teelöffel der,teaspoon,0,0
Teller der,plate,0,0
Teppich der,carpet,0,0
Tiefkühlschrank der,freezer,0,0
Tischdecke die,table cloth,0,0
Topf der,pan,0,0
Treppe die,stairs,0,0
Turm der,tower,0,0
U-Bahn die,underground train; tube,0,0
umgeben von,surrounded by,0,0
Umgebung die,surrounding area,0,0
umziehen,to move (house),0,0
Vorhang der,curtain,0,0
Vorort der,suburb,0,0
Vorteil der,advantage,0,0
Wald der,wood; forest,0,0
Wand die,wall (inside),0,0
Warenhaus das,department store,0,0
Waschbecken das,wash basin,0,0
Wiese die,meadow,0,0
Wintergarten der,conservatory,0,0
Wohnblock der,block of flats,0,0
Zebrastreifen der,zebra crossing,0,0
abhängig sein von,to be dependent on,0,0
abnehmen,to lose weight,0,0
Ader die,vein,0,0
Altenheim das,old people's home,0,0
anonym,anonymous,0,0
atmen,breath,0,0
aufgeben,to give up,0,0
aufhören,to stop,0,0
Ausländer der,foreigner,0,0
ausländisch,foreign,0,0
betrunken,drunk; intoxicated,0,0
Bewegung die,movement; exercise,0,0
bewusstlos,unconscious,0,0
Bewusstsein das,consciousness,0,0
Bio~,biological ~; organic,0,0
Blut das,blood,0,0
brechen,to be sick; to break,0,0
Droge die,drug,0,0
Drogenhändler der,drug dealer,0,0
Drogensüchtige der/die,drug addict,0,0
Einwanderer der,immigrant,0,0
entspannen (sich),to relax,0,0
Ernährung die,food; nourishment; nutrition,0,0
Erste Hilfe,First Aid,0,0
es geht mir gut/schlecht,I am fine; well/not well,0,0
Fett das,fat,0,0
fettig,fatty,0,0
fettleibig,obese,0,0
Feuerwehr die,fire brigade,0,0
freiwillig,voluntarily,0,0
Freiwillige der/die,volunteer,0,0
gebrochen,broken,0,0
gesund,healthy,0,0
Gesundheit die,health,0,0
Gewicht das,weight,0,0
gewinnen,to win,0,0
halten,to hold; to keep,0,0
Hautfarbe die,colour of the skin,0,0
Heim das,home; hostel,0,0
helfen,to help,0,0
Herz das,heart,0,0
Hilfe die,help,0,0
hilflos,helpless,0,0
in Form sein,to be in form/in (good) shape,0,0
krank,ill,0,0
Krankenhaus das,hospital,0,0
Krankenwagen der,ambulance,0,0
Krankheit die,illness,0,0
Krebs der,cancer,0,0
Leber die,liver,0,0
Magen der,stomach,0,0
Medikament das,medicine,0,0
Preis der,prize,0,0
Rasse die,race,0,0
Rassismus der,racism,0,0
rassistisch,racist,0,0
rauchen,to smoke,0,0
Ruhe die,peace; quiet; tranquillity,0,0
Schmerz der,pain; ache,0,0
...schmerzen haben,to have ...ache,0,0
Sorge die,worry,0,0
sorgen für,to care for; to look after,0,0
spenden,to donate,0,0
Spritze die,syringe; injection,0,0
spritzen,to inject,0,0
sterben,to die,0,0
Sucht die,addiction,0,0
süchtig,addicted; addictive,0,0
Tierheim das,animal shelter,0,0
tot,dead,0,0
übel (mir ist),I feel ill; sick,0,0
Unfall der,accident,0,0
Vene die,vein,0,0
Verkehrsunfall der,traffic accident,0,0
verletzen (sich),to be/get injured,0,0
Verletzung die,injury,0,0
weh tun,to hurt,0,0
Wohltätigkeit die,charity,0,0
Wohltätigkeitskonzert das,charity concert,0,0
Wohltätigkeitsveranstaltung die,charity event,0,0
zunehmen,to put on weight,0,0
Abfall der,rubbish; waste,0,0
Abfalleimer der,rubbish bin; litter bin,0,0
Abgase (pl),exhaust fumes,0,0
Achtung die,respect; esteem,0,0
alternative Energiequelle die,alternative source of energy,0,0
Altpapier das,waste paper,0,0
anbauen,to grow,0,0
arbeitslos,unemployed,0,0
arm,poor,0,0
Armut die,poverty,0,0
aussterben,to die out,0,0
bedrohen,to threaten,0,0
Benzin das,petrol,0,0
Bettler der,beggar,0,0
Bevölkerung die,population,0,0
biologisch,biological; organic,0,0
Biomüll der,organic waste,0,0
bleifrei,lead free,0,0
brauchen,to need,0,0
Brennstoff der,fuel,0,0
chemisch,chemical(ly),0,0
Dieb der,thief,0,0
Diskriminierung die,discrimination,0,0
einsam,lonely,0,0
entsorgen,to dispose of (waste; refuse; sewage),0,0
erfrieren,to freeze to death,0,0
Fahrradweg der,bicycle track/lane,0,0
FCKWs,CFCs,0,0
fliehen,to flee,0,0
Flüchtling der,refugee,0,0
Gebrauch der,usage,0,0
gefährlich,dangerous,0,0
Gesellschaft die,society,0,0
Gewalt die,violence,0,0
gewalttätig,violent,0,0
heizen,to heat,0,0
Heizung die,heating,0,0
Kaugummi der,chewing gum,0,0
keinen festen Wohnsitz haben,to have no fixed abode,0,0
Kohle die,coal,0,0
Kraftwerk das,power station,0,0
Krieg der,war,0,0
Kunststoff der,man-made/synthetic material,0,0
Lärm der,noise,0,0
laut,noisy,0,0
Leben das,life,0,0
Luft die,air,0,0
Luftverschmutzung die,air pollution,0,0
Müll der,refuse; waste; rubbish,0,0
Mülltonne die,dustbin,0,0
obdachlos,homeless,0,0
öffentlich,public(ly),0,0
Opfer das,victim,0,0
Ozonloch das,hole in the ozone layer,0,0
Ozonschicht die,ozone layer,0,0
Pfand das,deposit,0,0
reich,rich,0,0
reinigen,to clean,0,0
sauber,clean,0,0
Sauerstoff der,oxygen,0,0
saure Regen der,acid rain,0,0
Schaden der,damage,0,0
schädlich,harmful,0,0
Schale die,skin (fruit); peel (potato); shell (egg),0,0
schmutzig,dirty,0,0
schützen,to protect,0,0
schwach,weak,0,0
Solarzelle die,solar cell,0,0
Sonnenenergie die,solar energy,0,0
Sozialhilfe die,income support,0,0
Sozialwohnung die,council flat,0,0
sparen,to save; to conserve,0,0
Spraydose die,aerosol,0,0
stark,strong,0,0
stehlen,to steal,0,0
Suppenküche die,soup kitchen,0,0
Treibhauseffekt der,greenhouse effect,0,0
überbevölkert,over-populated,0,0
ultraviolette Strahlen (pl),ultra-violet rays,0,0
Umfrage die,survey; opinion poll,0,0
Umwelt die,environment,0,0
umweltfeindlich,environmentally hostile,0,0
umweltfreundlich,environmentally friendly,0,0
unterstützen,to support,0,0
Unterstützung die,support; help,0,0
Verbrauch der,consumption,0,0
Verbrechen das,crime,0,0
Verbrecher der,criminal,0,0
Verkehr der,traffic,0,0
Verkehrsmittel das,means of transport,0,0
Verpackung die,packaging,0,0
verschmutzen,to pollute,0,0
Verschmutzung die,pollution,0,0
verschwinden,to disappear,0,0
vertreiben,to drive out; to expel,0,0
Wasserkraft die,hydroelectric power,0,0
Wasserverschmutzung die,water pollution,0,0
wegwerfen,to throw away,0,0
weltweit,worldwide,0,0
zerstören,to destroy,0,0
Zuhause das,home; house,0,0
abfahren,to leave; to depart,0,0
abholen,to collect; to pick up,0,0
ankommen,to arrive,0,0
Asien,Asia,0,0
Ausflug der,trip; excursion,0,0
ausfüllen,to fill in,0,0
Ausland das,foreign country; abroad,0,0
Aussicht die,view,0,0
aussteigen,to alight; get off (bus),0,0
Bahnsteig der,platform,0,0
Belgien,Belgium,0,0
beliebt,popular,0,0
besichtigen,to sightsee; to visit; to have a look,0,0
bleiben,to stay,0,0
Blick der,view; glance,0,0
Boot das,boat,0,0
Briefkasten der,letter box,0,0
Briefmarke die,postage stamp,0,0
Burg die,(fortified) castle,0,0
Campingplatz der,campsite,0,0
Donau die,Danube,0,0
Doppelzimmer das,double room,0,0
einsteigen,to get in/on,0,0
Einzelzimmer das,single room,0,0
entwerten,to stamp/validate a ticket,0,0
Erinnerung die,memory,0,0
erleben,to experience,0,0
Ermäßigung die,reduction,0,0
Fähre die,ferry,0,0
Fahrkarte die,ticket,0,0
Fahrkartenautomat der,ticket machine,0,0
Fahrkartenschalter der,ticket office,0,0
Fahrpreis der,fare,0,0
Fahrradvermietung die,bicycle hire,0,0
Fahrt die,journey,0,0
Flug der,flight,0,0
Flughafen der,airport,0,0
Flugzeug das,plane,0,0
Formular das,form,0,0
Fotoapparat der,camera,0,0
Führung die,guided tour,0,0
Gepäck das,luggage,0,0
Gleis das,track; platform,0,0
Griechenland,Greece,0,0
Halbpension die,half board,0,0
herumfahren,to travel around,0,0
Jugendherberge die,youth hostel,0,0
Koffer der,suitcase,0,0
Köln,Cologne,0,0
Küste die,coast,0,0
Linie die,line; number (tram; bus),0,0
Meer das,sea,0,0
Mittelmeer das,Mediterranean,0,0
Mosel die,Moselle,0,0
München,Munich,0,0
Notausgang der,emergency exit,0,0
Öffnungszeiten (pl),opening times,0,0
örtlich,local,0,0
Ostsee die,Baltic Sea,0,0
Panne die,breakdown; puncture; flat tyre,0,0
Passagier der,passenger,0,0
Pension die,(small) hotel,0,0
Polen,Poland,0,0
Reise die,journey; trip; voyage,0,0
Reisebüro das,travel agency,0,0
Reisebus der,coach,0,0
reisen,to travel,0,0
Reisende der/die,traveller,0,0
Reisescheck der,traveller's cheque,0,0
Reisetasche die,travel bag,0,0
Reiseziel das,destination,0,0
Rhein der,Rhine,0,0
Richtung die,direction,0,0
Rundfahrt die,round trip; tour,0,0
Russland,Russia,0,0
Schließfach das,locker,0,0
Schloss das,castle; palace,0,0
See der,lake,0,0
See die,sea,0,0
seekrank,sea sick,0,0
sehenswert,worth seeing,0,0
Sehenswürdigkeit die,tourist attraction; sight,0,0
Sicherheitsgurt der,safety belt; seat belt,0,0
sonnen (sich),to sunbathe,0,0
Sonnenbrand der,sunburn,0,0
Sonnencreme die,suntan lotion,0,0
Speisewagen der,dining car; restaurant car (train),0,0
Stadtbummel der,stroll through town; window shopping,0,0
Stadtrundfahrt die,sightseeing tour of a town/city,0,0
Stau der,traffic jam,0,0
Strand der,beach,0,0
Straßenkarte die,road map,0,0
Überfahrt die,crossing (sea),0,0
übernachten,to stay overnight,0,0
Übernachtung die,overnight stay,0,0
Übernachtung mit Frühstück,B&B,0,0
überqueren,to cross (road; sea),0,0
umsteigen,to change (means of transport),0,0
unterwegs,on the way,0,0
Urlaub der,holiday,0,0
verbringen,to spend (time),0,0
verpassen,to miss,0,0
Verspätung die,delay,0,0
Vollpension die,full board,0,0
warten (auf),to wait (for),0,0
Wartesaal der,waiting room (eg station),0,0
weg,away,0,0
Weg der,way; path,0,0
wegfahren,to leave; to travel away,0,0
weggehen,to leave; to go away,0,0
weiterfahren,to travel on,0,0
wieder,again,0,0
Wien,Vienna,0,0
Wohnwagen der,caravan,0,0
Zelt das,tent,0,0
zelten,to camp,0,0
Zweibettzimmer das,twin bed room,0,0
Direktor der,headteacher; principal,0,0
Fach das,subject,0,0
Fremdsprache die,foreign language,0,0
gerecht,fair; just,0,0
klug,clever; intelligent,0,0
lehren,to teach,0,0
Schulfach das,school subject,0,0
Schulleiter der,headteacher; principal,0,0
Stunde die,lesson,0,0
ungerecht,unfair,0,0
Werken,DT,0,0
1 = sehr gut,very good,0,0
2 = gut,good,0,0
3 = befriedigend,satisfactory; fair,0,0
4 = ausreichend,sufficient; pass (just),0,0
5 = mangelhaft,poor; unsatisfactory; fail,0,0
6 = ungenügend,extremely poor; inadequate,0,0
Abschlusszeugnis das,school leaving certificate,0,0
Anspitzer der,pencil sharpener,0,0
Antwort die,answer,0,0
antworten,to answer,0,0
anziehen (sich),to get dressed,0,0
Anzug der,suit,0,0
aufpassen,to pay attention,0,0
aufstehen,to get up,0,0
aufwachen,to wake up,0,0
Aula die,(assembly) hall,0,0
Austausch der,exchange,0,0
Auswahl die,choice,0,0
ausziehen (sich),to get undressed,0,0
bestehen,to pass (exam/test),0,0
blau machen,to skip work; to play truant,0,0
Bluse die,blouse,0,0
dauern,to last,0,0
Erfolg der,success,0,0
erfolgreich,successful,0,0
erklären,to explain,0,0
erzählen,to tell; to narrate,0,0
faul,lazy,0,0
fehlen,to be missing; absent,0,0
Ferien (pl),holidays,0,0
fleißig,hard working; industrious,0,0
Frage die,question,0,0
fragen,to ask,0,0
Ganztagsschule die,school that lasts all day,0,0
Gesamtschule die,comprehensive school,0,0
gründen,to found,0,0
Grundschule die,primary school,0,0
Gymnasium das,grammar school,0,0
Halle die,hall,0,0
Hauptschule die,secondary school,0,0
Hausmeister der,caretaker,0,0
Hemd das,shirt,0,0
Hose die,trousers,0,0
Internat das,boarding school,0,0
Klassenarbeit die,test,0,0
Klassenfahrt die,school trip,0,0
Kleid das,dress,0,0
korrigieren,to correct,0,0
Krawatte die,tie,0,0
Kreide die,chalk,0,0
Labor das,laboratory,0,0
Lehrerzimmer das,staff room,0,0
Lineal das,ruler,0,0
malen,to paint,0,0
Mittagspause die,lunch break,0,0
mündlich,orally,0,0
nachsitzen,to have a detention,0,0
Note die,grade; mark,0,0
Notendruck der,pressure to achieve good marks/grades,0,0
Pause die,break,0,0
plaudern,to chat; to talk,0,0
Prüfung die,exam,0,0
rasieren (sich),to shave,0,0
Raum der,room,0,0
Realschule die,secondary school,0,0
rechnen,to calculate; to do sums,0,0
Regel die,rule,0,0
Rock der,skirt,0,0
schaffen,to manage; to cope; to create,0,0
Schal der,scarf,0,0
schminken (sich),to put on make-up,0,0
schriftlich,written,0,0
Schüler der,student,0,0
Schulhof der,school yard; playground,0,0
schwatzen/schwätzen,to chatter,0,0
Seite die,page,0,0
Sekretariat das,office (school); reception,0,0
setzen (sich),to sit down,0,0
sitzen bleiben,to repeat a school year,0,0
Sprachlabor das,language lab,0,0
Stundenplan der,timetable,0,0
Tafel die,black/white board,0,0
Turnhalle die,sports hall,0,0
üben,to practise,0,0
Übung die,exercise,0,0
Umkleideraum der,changing room,0,0
umziehen (sich),to get changed; change clothes,0,0
Unterricht der,lessons; teaching,0,0
unterrichten,to teach,0,0
verlassen,to leave,0,0
Versammlung die,assembly,0,0
verstehen,to understand,0,0
versuchen,to try,0,0
wählen,to choose,0,0
waschen (sich),to have a wash,0,0
wiederholen,to repeat,0,0
wissen,to know,0,0
Wörterbuch das,dictionary,0,0
Zahnbürste die,toothbrush,0,0
Zahnpasta die,toothpaste,0,0
zeichnen,to draw,0,0
Zeugnis das,school report,0,0
zuhören,to listen,0,0
(Azubi) = Auszubildende der,apprentice; trainee,0,0
Abitur das,A-level equivalent,0,0
Abiturient der,person doing the Abitur,0,0
arbeiten,to work,0,0
Arbeitspraktikum das,work experience,0,0
Ausbildung die,(job) training; education,0,0
Ausbildungsplatz der,vacancy/place for a trainee,0,0
Berufsberater der,careers adviser,0,0
Berufsschule die,vocational training school,0,0
bewerben (sich um),to apply for,0,0
Bewerbung die,application,0,0
Brief der,letter,0,0
Chef der,boss,0,0
entscheiden (sich),to decide,0,0
Erfahrung die,experience,0,0
fertig,ready; done,0,0
Führerschein der,driving licence,0,0
Gelegenheit die,opportunity,0,0
Kollege der,colleague,0,0
Kurs der,course,0,0
Lebenslauf der,curriculum vitae (CV),0,0
Lehre die,apprenticeship,0,0
Lohn der,wage,0,0
Mindestlohn der,minimum wage,0,0
Nebenjob der,part-time job,0,0
Oberstufe die,equivalent to sixth-form,0,0
Rat der,advice,0,0
Semester das,term,0,0
Studienplatz der,university place,0,0
Studium das,studies,0,0
theoretisch,theoretical,0,0
verdienen,to earn,0,0
Angestellte der/die,employee,0,0
Apotheker der,pharmacist,0,0
Arbeitszeit die,work hours,0,0
Bäcker der,baker,0,0
Bauarbeiter der,building/construction worker,0,0
bauen,to build,0,0
Bauer der,farmer,0,0
Beamte der/die,civil servant,0,0
Beruf der,job; occupation,0,0
berufstätig (sein),(to be) in work,0,0
beschäftigt (sein),(to be) busy; employed,0,0
beschließen,to decide,0,0
besitzen,to own,0,0
Besitzer der,owner,0,0
Bezahlung die,payment,0,0
Briefträger der,postman,0,0
Büro das,office,0,0
erfüllen,to fulfil,0,0
Feuerwehrmann der,fire fighter,0,0
Fleischer der,butcher,0,0
Friseur der,hairdresser,0,0
ganztags,all day,0,0
Gärtner der,gardener,0,0
Gehalt das,salary,0,0
Halbtagsarbeit die,part time employment,0,0
Hausfrau die,house wife,0,0
im Freien,outside; in the open air,0,0
Karriere die,career,0,0
Kassierer der,cashier; bank clerk,0,0
Klempner der,plumber,0,0
Koch der,chef; cook,0,0
Krankenschwester die,nurse,0,0
LKW-Fahrer der,lorry driver,0,0
Maler der,painter; decorator,0,0
Metzger der,butcher,0,0
Pfarrer der,parish priest; vicar,0,0
Polizei die,police,0,0
Polizist der,policeman,0,0
Postbote der,postman,0,0
Rentner der,pensioner,0,0
Schauspieler der,actor,0,0
Schichtarbeit die,shift work,0,0
suchen,to look for; to search,0,0
Teilzeitjob der,part time job,0,0
Termin der,date; appointment,0,0
Tischler der,carpenter,0,0
Verkäufer der,shop assistant,0,0
Vollzeitarbeit die,full time work,0,0
Vorstellungsgespräch das,job interview,0,0
Werkstatt die,garage,0,0
Wunsch der,wish,0,0
Alleinerziehende der/die,single parent,0,0
alleinstehend,single,0,0
Angeber der,show off; poser,0,0
aufpassen (auf),to look after,0,0
ausgeglichen,balanced,0,0
Bekannte der/die,acquaintance; friend,0,0
Beziehung die,relationship,0,0
Braut die,bride,0,0
Bräutigam der,groom,0,0
Ehe die,marriage,0,0
eifersüchtig,jealous,0,0
einen (guten) Sinn für Humor haben,to have a (good) sense of humour,0,0
eingebildet,conceited,0,0
Enkel der,grandson,0,0
Enkelin die,granddaughter,0,0
gleichgeschlechtliche Ehe/Partnerschaft die,same-sex marriage/partnership,0,0
großzügig,generous,0,0
Junggeselle der,bachelor,0,0
lebhaft,lively,0,0
leiden,to suffer,0,0
minderjährig,(to be a) minor; under legal age,0,0
miteinander,with one another; together,0,0
Neffe der,nephew,0,0
Nichte die,niece,0,0
Schulter die,shoulder,0,0
Schwager der,brother-in-law,0,0
Schwägerin die,sister-in-law,0,0
Schwieger~,~ in-law,0,0
selbstbewusst,self-confident; self-assured,0,0
Trauung die,wedding (ceremony),0,0
treu,faithful; loyal,0,0
Verlobte der/die,fiancé(e),0,0
verrückt,crazy,0,0
Verwandte der/die,relative,0,0
Verwandtschaft die,relations (pl); relatives (pl),0,0
verzeihen,to forgive,0,0
volljährig,(to be) of age,0,0
Vorwahl(nummer) die,long distance code (telephone),0,0
zurechtkommen mit,to cope with,0,0
zuverlässig,reliable,0,0
zweifeln,to doubt,0,0
Anwendungen (pl),applications,0,0
Betriebssystem das,operating system,0,0
Einstellungen (pl),settings,0,0
leistungsstark,powerful (battery; processor),0,0
Sicherheit die,safety,0,0
aufnehmen,to record,0,0
aufregend,exciting,0,0
Bergsteigen das,mountain climbing,0,0
Dirigent der,conductor,0,0
Ente die,duck,0,0
ermüdend,tiring,0,0
Flachbildschirm der,flat screen TV,0,0
Flimmerkiste die,TV; box; telly,0,0
Forelle die,trout,0,0
Gans die,goose,0,0
Geige die,violin,0,0
geräuchert,smoked,0,0
Halbfettmilch die,semi-skimmed milk,0,0
hausgemacht,home made,0,0
Honig der,honey,0,0
Kalbfleisch das,veal,0,0
Knoblauch der,garlic,0,0
Lachs der,salmon,0,0
Lamm(fleisch) das,lamb,0,0
Leichtathletik die,athletics,0,0
Magermilch die,skimmed milk,0,0
Mehl das,flour,0,0
Querflöte die,flute,0,0
Rennen das,race,0,0
Rindfleisch das,beef,0,0
Rührei das,scrambled egg(s),0,0
Schlagzeug das,percussion; drums,0,0
Schlittschuh laufen,ice skating,0,0
schmackhaft,Tasty,0,0
Schweinefleisch das,pork,0,0
Spiegelei das,fried egg,0,0
Sprudel(wasser) der (das),fizzy mineral water,0,0
Truthahn der,turkey,0,0
Überraschung die,surprise,0,0
Untertitel der,subtitle,0,0
Verein der,club,0,0
Vergnügen das,fun; enjoyment,0,0
Vollmilch die,full fat milk,0,0
würzig,spicy,0,0
Aprilscherz der,April fool's trick,0,0
Gastfreundschaft die,hospitality,0,0
Tag der Arbeit (1 Mai),May Day,0,0
Abstellraum der,storeroom,0,0
ausschalten,to switch off,0,0
Besteck das,cutlery,0,0
Brunnen der,well,0,0
Einbahnstraße die,one way street,0,0
einschalten,to switch on,0,0
Essecke die,eating area (eg in the kitchen),0,0
Fahrschein der,ticket (public transport),0,0
Gerät das,appliance,0,0
geräumig,roomy; spacious,0,0
Geschirr das,crockery,0,0
gratis,free of charge,0,0
Grünanlage die,green area; park,0,0
Mehrfamilienhaus das,house for several families (three to six storeys),0,0
Möbelstück das,piece of furniture,0,0
~möglichkeiten,~ possibilities,0,0
öffentliche Verkehrsmittel (pl),public transport,0,0
pleite (sein),to be skint,0,0
preiswert,good value for money; cheap,0,0
Rabatt der,discount,0,0
Sackgasse die,cul-de-sac,0,0
Sparkasse die,(savings) bank,0,0
Stadtteil der,part of the town,0,0
Stadtviertel das,district; part of the town,0,0
Stockwerk das,floor; storey,0,0
Strom der,electricity,0,0
Tiefkühltruhe die,chest freezer,0,0
Treppenhaus das,staircase,0,0
umsonst,free of charge; in vain,0,0
Umzug der,move; moving (house),0,0
Wolkenkratzer der,sky-scraper,0,0
abstinent,teetotal,0,0
Atem der,breath,0,0
Atembeschwerden (pl),breathing difficulties,0,0
Bedürftige der/die,somebody in need,0,0
begehen,to commit; to perpetrate,0,0
benachteiligen,to disadvantage,0,0
bewegen (sich),to move; to get/take some exercise,0,0
Drogenberatungsstelle die,advice centre for drug addicts,0,0
ehrenamtlich,honorary; voluntarily,0,0
ein Mittel gegen ...,something; a medicine for ...,0,0
einatmen,to breathe in,0,0
Eingliederung die,integration,0,0
einnehmen,to take (in),0,0
Entziehungskur die,rehab for drug addiction/alcoholism,0,0
erbrechen (sich),to be sick,0,0
fettarm,low in fat,0,0
Gehirn das,brain,0,0
lebendig,alive,0,0
magersüchtig,anorexic,0,0
Mindesthaltbarkeitsdatum das,best before date,0,0
Nahrung die,food; nourishment,0,0
Rassenvorurteile (pl),racial prejudice,0,0
Rassist der,racist,0,0
Raucherhusten der,smoker's cough,0,0
Rauschgift das,drug; narcotic,0,0
schaden,to damage; to harm,0,0
Straftat die,criminal offence; act,0,0
Süßigkeiten (pl),sweets,0,0
Überdosis die,overdose,0,0
übergewichtig,overweight,0,0
vermeiden,to avoid,0,0
Abholzung die,deforestation,0,0
Auspuffgase (pl),exhaust fumes,0,0
bedürftig,needy,0,0
Düngemittel das,fertiliser,0,0
Einwegflasche die,non-recyclable bottle,0,0
Gleichheit die,equality,0,0
Hauptverkehrszeit die,rush hour,0,0
menschlich,human; humane,0,0
Müllentsorgung die,waste disposal,0,0
Not die,need,0,0
Obdachlosenheim das,hostel for homeless people,0,0
Rote Kreuz das,Red Cross,0,0
überschreiten,to exceed,0,0
verpesten,to pollute,0,0
verschwenden,to waste,0,0
verwenden,to use,0,0
wiederverwerten,to recycle,0,0
Wiederverwertung die,recycling,0,0
Andenken das,souvenir; memento,0,0
ansehen (sich etwas),to have a look at something,0,0
Ärmelkanal der,(English) Channel,0,0
Aufenthalt der,stay,0,0
Auskunft die,information,0,0
Autovermietung die,car rental (firm),0,0
beeilen (sich),to hurry,0,0
begleiten,to accompany,0,0
bestätigen,to confirm,0,0
Bodensee der,Lake Constance,0,0
Dampfer der,steam boat,0,0
Empfang der,welcoming; reception (hotel),0,0
entdecken,to discover,0,0
erinnern (sich),to remember,0,0
Fahrradverleih der,bicycle hire,0,0
Genf,Geneva,0,0
Gepäckaufbewahrung die,place where one can leave luggage for payment (station; airport),0,0
Klimaanlage die,air conditioning,0,0
Prospekt der,brochure; leaflet,0,0
Strandkorb der,wicker beach chair,0,0
Verbindung die,connection,0,0
Verkehrsamt das,tourist information office,0,0
wegen Betriebsferien (pl) geschlossen,(firm/shop/attraction) closed because of holiday,0,0
Zoll der,customs,0,0
Zuschlag der,extra charge; surcharge,0,0
Fremdsprachenassistent der,language assistant,0,0
abschreiben,to copy,0,0
abwesend,absent,0,0
anwesend,present,0,0
Aussprache die,pronunciation,0,0
beantworten,to answer,0,0
durchfallen,to fail (exam/test),0,0
eine Frage stellen,to ask a question,0,0
Ergebnis das,result; outcome,0,0
Gang der,corridor,0,0
Leistung die,achievement,0,0
Leistungsdruck der,pressure to achieve,0,0
Patrone die,cartridge,0,0
Schere die,scissors,0,0
schwänzen,to play truant,0,0
Strafarbeit die,punishment; lines,0,0
versetzt werden,to be moved up to the next year group,0,0
einstellen,to employ,0,0
Fachschule die,technical college,0,0
Hauswirtschaftslehre die,home economics,0,0
Pflichtfach das,compulsory subject,0,0
Sozialkunde die,social studies; politics,0,0
Wahlfach das,optional subject,0,0
Wirtschaftslehre die,business studies; economics,0,0
Arbeitgeber der,Employer,0,0
Besprechung die,meeting; discussion,0,0
Betrieb der,business; concern; works,0,0
kündigen,to hand in one's notice; to sack someone,0,0
vereinbaren,to agree; to arrange,0,0
